,ECS
166,4.27374734912522
167,4.2461065716995146
168,1.751920362607277
169,4.343703405980741
170,2.684380753451438
171,2.9365731321582014
172,1.7839306666153205
173,2.2960383398912416
174,4.181416307405647
175,2.0108416329295795
176,3.2913237871318133
177,2.3228716772511673
178,3.5420856098933733
179,2.7558407260743394
180,2.66252240817116
181,4.484400883388224
182,3.2855439280678995
183,2.7839867443968855
184,2.83847440551727
185,2.8497491877922863
186,2.4413043543741466
187,2.713582341724227
188,2.8795366699664995
189,2.3829525946877546
190,2.3637827292363394
191,3.3357603456605855
192,2.7863223555629415
193,2.22541377384715
194,4.4390937406514235
195,1.952149476075593
196,4.409641770551132
197,1.9711825369076759
198,3.2918622245437814
199,2.4208310496912473
200,2.8619534236031874
201,2.1525946983731443
202,2.5061591863244197
203,2.5879047397109
204,1.85090118803928
205,2.051423333260971
206,3.5898816540872303
207,2.467047450890328
208,2.4405745073387
209,2.59310585146218
210,3.240983474706056
211,2.9511737505980684
212,2.6694735410149333
213,2.55083481335988
214,3.4654103421556983
215,3.1733563617806664
216,2.598341543734194
217,2.960114972306365
218,3.3173700213348427
219,2.4114051211482757
220,2.6002125618818224
221,2.422172904472942
222,5.057519967622411
223,2.8650107534422657
224,3.374272296581816
225,2.2774180515610523
226,2.487956020122603
227,3.1501760916712835
228,2.7672047407464873
229,2.8011314412221897
230,3.1828233880377064
231,3.0818974449804624
232,3.2804429797659345
233,3.3578542529303252
234,3.3631742305550953
235,3.055088504959776
236,2.8595814034156652
237,2.536329343051994
238,3.710284778395844
239,3.5181510025577336
240,2.659095976230294
241,4.474423147869396
242,3.8738596795953195
243,3.9136062437930836
244,3.125510381584888
245,2.24750068544693
246,2.3488597864417704
247,3.2624273291979184
248,2.9191894346620684
249,3.8516918559904747
250,3.1488848933788827
251,3.3927109633008943
252,2.5320579882792305
253,2.710067056851684
254,2.780038613092768
255,3.893761828362802
256,4.285044615094199
257,5.930769768440289
258,2.9143375170831116
259,2.7394174050931723
260,2.325636782064099
261,3.823506613678345
262,2.4983899699562904
263,2.7374862748031457
264,2.045654231557462
265,2.3730183790003703
266,3.687998924666985
267,5.468760895395174
268,3.80120330727227
269,2.582546369152234
270,2.171796577326184
271,3.5805061374548046
272,4.107471600696935
273,3.6145044143861527
274,2.403356198448185
275,2.7923756807603786
276,3.56222206228258
277,2.6230069797734443
278,2.262008359667301
279,3.3277865282819086
280,2.5369128899234177
281,2.6867579849216674
282,2.5929279174967954
283,2.1470393982640115
284,4.170080061189334
285,3.5250111836295908
286,2.575778255662808
287,2.821120115593295
288,2.6663573520085624
289,3.435370526786572
290,4.799272561368877
291,2.974131677031953
292,2.8149772977017937
293,2.5180042968514957
294,2.8467100070292273
295,2.9215820856226897
296,2.4180044705600543
297,5.4723250271225625
298,3.669417107876728
299,4.907279453995833
300,3.659625661042181
301,2.9588854754932115
302,3.9582670759965253
303,3.232699488711534
304,4.375613780404176
305,2.8072085880139315
306,2.533265047490796
307,4.25723058817407
308,3.0965410538822127
309,4.467030963729534
310,3.6287808308645535
311,2.173371583040361
312,3.4011763098025147
313,2.659805866987948
314,4.670164258680834
315,3.6536902358153287
